"Genes","Farmaco","miRNAs","freq"
"GAPDH","conjugated estrogens","hsa-mir-3942",83
"GAPDH","estradiol","hsa-mir-3942",83
"GAPDH","estrone","hsa-mir-3942",83
"GAPDH","estrogens","hsa-mir-3942",83
"GAPDH","chlorotrianisene","hsa-mir-3942",83
"GAPDH","dienestrol","hsa-mir-3942",83
"GAPDH","diethylstilbestrol","hsa-mir-3942",83
"GAPDH","ethinyl estradiol","hsa-mir-3942",83
"ICAM1","tretinoin","hsa-mir-3942",83
"ICAM1","l-arginine","hsa-mir-3942",83
"ICAM1","nitric oxide","hsa-mir-3942",83
"ICAM1","glucocorticoids","hsa-mir-3942",83
"ICAM1","mometasone","hsa-mir-3942",83
"MAPK3","valinomycin","hsa-mir-3942",83
"MAPK3","cyclosporine","hsa-mir-3942",83
"MAPK3","tacrolimus","hsa-mir-3942",83
"MAPK3","aspirin","hsa-mir-3942",83
"MAPK3","beta blocking agents","hsa-mir-3942",83
"MAPK3","sirolimus","hsa-mir-3942",83
"MAPK3","sorafenib","hsa-mir-3942",83
"MAPK3","progesterone","hsa-mir-3942",83
"MAPK3","imatinib","hsa-mir-3942",83
"MAPK3","adenosine triphosphate","hsa-mir-3942",83
"MAPK3","chloroquine","hsa-mir-3942",83
"MAPK3","glutathione","hsa-mir-3942",83
"MAPK3","nifedipine","hsa-mir-3942",83
"MAPK3","isoproterenol","hsa-mir-3942",83
"NOS3","fluorouracil","hsa-mir-3942",83
"NOS3","methotrexate","hsa-mir-3942",83
"NOS3","doxorubicin","hsa-mir-3942",83
"NOS3","cyclophosphamide","hsa-mir-3942",83
"NOS3","hydrochlorothiazide","hsa-mir-3942",83
"NOS3","betamethasone","hsa-mir-3942",83
"NOS3","tamoxifen","hsa-mir-3942",83
"NOS3","hydralazine","hsa-mir-3942",83
"NOS3","antipsychotics","hsa-mir-3942",83
"NOS3","rosuvastatin","hsa-mir-3942",83
"NOS3","enalapril","hsa-mir-3942",83
"NOS3","diuretics","hsa-mir-3942",83
"NOS3","antihypertensives","hsa-mir-3942",83
"NOS3","atorvastatin","hsa-mir-3942",83
"NOS3","fluticasone propionate","hsa-mir-3942",83
"NOS3","estrogens","hsa-mir-3942",83
"NOS3","sildenafil","hsa-mir-3942",83
"NOS3","budesonide","hsa-mir-3942",83
"NOS3","fluvastatin","hsa-mir-3942",83
"NOS3","hmg coa reductase inhibitors","hsa-mir-3942",83
"NOS3","ace inhibitors; plain","hsa-mir-3942",83
"NOS3","adenosine monophosphate","hsa-mir-3942",83
"NOS3","adenosine triphosphate","hsa-mir-3942",83
"NOS3","l-arginine","hsa-mir-3942",83
"NOS3","l-citrulline","hsa-mir-3942",83
"NOS3","nitric oxide","hsa-mir-3942",83
"NOS3","glucose","hsa-mir-3942",83
"NOS3","pyruvic acid","hsa-mir-3942",83
"NOS3","nifedipine","hsa-mir-3942",83
"NOS3","antithrombotic agents","hsa-mir-3942",83
"NOS3","folic acid","hsa-mir-3942",83
"NOS3","prednisone","hsa-mir-3942",83
"NOS3","xenobiotics","hsa-mir-3942",83
"NOS3","nitroglycerin","hsa-mir-3942",83
"NOS3","dexamethasone","hsa-mir-3942",83
"NOS3","perindopril","hsa-mir-3942",83
"NOS3","choline","hsa-mir-3942",83
"NOS3","tetrahydrobiopterin","hsa-mir-3942",83
"NOS3","glucocorticoids","hsa-mir-3942",83
"NOS3","hydrocortisone","hsa-mir-3942",83
"NOS3","methylprednisolone","hsa-mir-3942",83
"NOS3","mometasone","hsa-mir-3942",83
"NOS3","paramethasone","hsa-mir-3942",83
"NOS3","prednisolone","hsa-mir-3942",83
"NOS3","rimexolone","hsa-mir-3942",83
"NOS3","triamcinolone","hsa-mir-3942",83
"NOS3","beclomethasone","hsa-mir-3942",83
"NOS3","ciclesonide","hsa-mir-3942",83
"NOS3","desonide","hsa-mir-3942",83
"NOS3","flunisolide","hsa-mir-3942",83
"NOS3","prostaglandins","hsa-mir-3942",83
"NOS3","acetylcholine","hsa-mir-3942",83
"NOS3","phenylephrine","hsa-mir-3942",83
"NOS3","cardiovascular system","hsa-mir-3942",83
"NOS3","methyldopa","hsa-mir-3942",83
"NOS3","ginsenoside-rg1","hsa-mir-3942",83
"BCAT1","l-glutamine","hsa-mir-141",74
"BCAT1","biotin","hsa-mir-141",74
"BCAT1","l-valine","hsa-mir-141",74
"BCAT1","l-leucine","hsa-mir-141",74
"CDH1","conjugated estrogens","hsa-mir-141",74
"CDH1","estradiol","hsa-mir-141",74
"CDH1","estrone","hsa-mir-141",74
"CDH1","estrogens","hsa-mir-141",74
"CDH1","adenosine triphosphate","hsa-mir-141",74
"CDH1","chlorotrianisene","hsa-mir-141",74
"CDH1","dienestrol","hsa-mir-141",74
"CDH1","diethylstilbestrol","hsa-mir-141",74
"CDH1","ethinyl estradiol","hsa-mir-141",74
"CDH1","choline","hsa-mir-141",74
"KCNJ2","amiodarone","hsa-mir-141",74
"KCNJ2","chlorpromazine","hsa-mir-141",74
"KCNJ2","haloperidol","hsa-mir-141",74
