"Genes","Farmaco","miRNAs","freq"
"CHRNB2","galantamine","hsa-mir-3667",57
"CHRNB2","bupropion","hsa-mir-3667",57
"CHRNB2","nicotine","hsa-mir-3667",57
"CHRNB2","varenicline","hsa-mir-3667",57
"KCNH2","risperidone","hsa-mir-3667",57
"KCNH2","cimetidine","hsa-mir-3667",57
"KCNH2","olanzapine","hsa-mir-3667",57
"KCNH2","amiodarone","hsa-mir-3667",57
"KCNH2","chlorpromazine","hsa-mir-3667",57
"KCNH2","haloperidol","hsa-mir-3667",57
"KCNH2","warfarin","hsa-mir-3667",57
"KCNH2","antipsychotics","hsa-mir-3667",57
"KCNH2","arsenic trioxide","hsa-mir-3667",57
"KCNH2","hydroxyzine","hsa-mir-3667",57
"KCNH2","methadone","hsa-mir-3667",57
"KCNH2","quetiapine","hsa-mir-3667",57
"KCNH2","loratadine","hsa-mir-3667",57
"KCNH2","thioridazine","hsa-mir-3667",57
"KCNH2","chloroquine","hsa-mir-3667",57
"KCNH2","beta blocking agents; selective","hsa-mir-3667",57
"KCNH2","clarithromycin","hsa-mir-3667",57
"KCNH2","ziprasidone","hsa-mir-3667",57
"KCNH2","trazodone","hsa-mir-3667",57
"KCNH2","erythromycin","hsa-mir-3667",57
"KCNH2","chlorpheniramine","hsa-mir-3667",57
"KCNH2","lovastatin","hsa-mir-3667",57
"KCNH2","fluoxetine","hsa-mir-3667",57
"KCNH2","terfenadine","hsa-mir-3667",57
"KCNH2","ibutilide","hsa-mir-3667",57
"KCNH2","fluvoxamine","hsa-mir-3667",57
"KCNH2","astemizole","hsa-mir-3667",57
"KCNH2","cisapride","hsa-mir-3667",57
"KCNH2","grepafloxacin","hsa-mir-3667",57
"KCNH2","sertindole","hsa-mir-3667",57
"KCNH2","moxifloxacin","hsa-mir-3667",57
"KCNH2","telithromycin","hsa-mir-3667",57
"KCNH2","perhexiline","hsa-mir-3667",57
"KCNH2","droperidol","hsa-mir-3667",57
"KCNH2","levomethadyl acetate","hsa-mir-3667",57
"KCNH2","mibefradil","hsa-mir-3667",57
"KCNH2","disopyramide","hsa-mir-3667",57
"KCNH2","pimozide","hsa-mir-3667",57
"KCNH2","sparfloxacin","hsa-mir-3667",57
"KCNH2","procainamide","hsa-mir-3667",57
"KCNH2","doxepin","hsa-mir-3667",57
"KCNH2","probucol","hsa-mir-3667",57
"KCNH2","dofetilide","hsa-mir-3667",57
"KCNH2","quinidine","hsa-mir-3667",57
"KCNH2","bepridil","hsa-mir-3667",57
"KCNH2","domperidone","hsa-mir-3667",57
"KCNH2","halofantrine","hsa-mir-3667",57
"KCNH2","mesoridazine","hsa-mir-3667",57
"KCNH2","pentamidine","hsa-mir-3667",57
"KCNH2","sotalol","hsa-mir-3667",57
"KCNH2","antiarrhythmics; class i and iii","hsa-mir-3667",57
"KCNH2","mexiletine","hsa-mir-3667",57
"KCNH2","silodosin","hsa-mir-3667",57
"AKT1","risperidone","hsa-mir-17",49
"AKT1","cisplatin","hsa-mir-17",49
"AKT1","gemcitabine","hsa-mir-17",49
"AKT1","doxorubicin","hsa-mir-17",49
"AKT1","cyclosporine","hsa-mir-17",49
"AKT1","pioglitazone","hsa-mir-17",49
"AKT1","rosiglitazone","hsa-mir-17",49
"AKT1","tacrolimus","hsa-mir-17",49
"AKT1","betamethasone","hsa-mir-17",49
"AKT1","tamoxifen","hsa-mir-17",49
"AKT1","arsenic trioxide","hsa-mir-17",49
"AKT1","lapatinib","hsa-mir-17",49
"AKT1","gefitinib","hsa-mir-17",49
"AKT1","sirolimus","hsa-mir-17",49
"AKT1","sorafenib","hsa-mir-17",49
"AKT1","fluticasone propionate","hsa-mir-17",49
"AKT1","budesonide","hsa-mir-17",49
"AKT1","celecoxib","hsa-mir-17",49
"AKT1","imatinib","hsa-mir-17",49
"AKT1","adenosine monophosphate","hsa-mir-17",49
"AKT1","adenosine triphosphate","hsa-mir-17",49
"AKT1","glutathione","hsa-mir-17",49
"AKT1","lecithin","hsa-mir-17",49
"AKT1","l-arginine","hsa-mir-17",49
"AKT1","l-citrulline","hsa-mir-17",49
"AKT1","nitric oxide","hsa-mir-17",49
"AKT1","glucose","hsa-mir-17",49
"AKT1","nicotine","hsa-mir-17",49
"AKT1","prednisone","hsa-mir-17",49
"AKT1","xenobiotics","hsa-mir-17",49
"AKT1","dexamethasone","hsa-mir-17",49
"AKT1","choline","hsa-mir-17",49
"AKT1","tetrahydrobiopterin","hsa-mir-17",49
"AKT1","glucocorticoids","hsa-mir-17",49
"AKT1","hydrocortisone","hsa-mir-17",49
"AKT1","methylprednisolone","hsa-mir-17",49
"AKT1","mometasone","hsa-mir-17",49
"AKT1","paramethasone","hsa-mir-17",49
"AKT1","prednisolone","hsa-mir-17",49
"AKT1","rimexolone","hsa-mir-17",49
"AKT1","triamcinolone","hsa-mir-17",49
"AKT1","beclomethasone","hsa-mir-17",49
"AKT1","ciclesonide","hsa-mir-17",49
"AKT1","desonide","hsa-mir-17",49
