"Genes","Farmaco","miRNAs","freq"
"ABCB1","rhodamine 123","hsa-mir-92b",236
"ABCB1","antidepressants","hsa-mir-92b",236
"ABCB1","risperidone","hsa-mir-92b",236
"ABCB1","cisplatin","hsa-mir-92b",236
"ABCB1","fluorouracil","hsa-mir-92b",236
"ABCB1","metformin","hsa-mir-92b",236
"ABCB1","cimetidine","hsa-mir-92b",236
"ABCB1","gemcitabine","hsa-mir-92b",236
"ABCB1","oxaliplatin","hsa-mir-92b",236
"ABCB1","methotrexate","hsa-mir-92b",236
"ABCB1","actinomycines","hsa-mir-92b",236
"ABCB1","daunorubicin","hsa-mir-92b",236
"ABCB1","doxorubicin","hsa-mir-92b",236
"ABCB1","valinomycin","hsa-mir-92b",236
"ABCB1","calcein","hsa-mir-92b",236
"ABCB1","paclitaxel","hsa-mir-92b",236
"ABCB1","cytarabine","hsa-mir-92b",236
"ABCB1","cyclosporine","hsa-mir-92b",236
"ABCB1","cyclophosphamide","hsa-mir-92b",236
"ABCB1","rosiglitazone","hsa-mir-92b",236
"ABCB1","gabapentin","hsa-mir-92b",236
"ABCB1","olanzapine","hsa-mir-92b",236
"ABCB1","dicloxacillin","hsa-mir-92b",236
"ABCB1","anthracyclines and related substances","hsa-mir-92b",236
"ABCB1","amiodarone","hsa-mir-92b",236
"ABCB1","simvastatin","hsa-mir-92b",236
"ABCB1","chlorpromazine","hsa-mir-92b",236
"ABCB1","bromperidol","hsa-mir-92b",236
"ABCB1","clozapine","hsa-mir-92b",236
"ABCB1","tipranavir","hsa-mir-92b",236
"ABCB1","caffeine","hsa-mir-92b",236
"ABCB1","dextromethorphan","hsa-mir-92b",236
"ABCB1","digoxin","hsa-mir-92b",236
"ABCB1","ritonavir","hsa-mir-92b",236
"ABCB1","carbamazepine","hsa-mir-92b",236
"ABCB1","warfarin","hsa-mir-92b",236
"ABCB1","tacrolimus","hsa-mir-92b",236
"ABCB1","farnesyltransferase inhibitors","hsa-mir-92b",236
"ABCB1","tipifarnib","hsa-mir-92b",236
"ABCB1","amlodipine","hsa-mir-92b",236
"ABCB1","irinotecan","hsa-mir-92b",236
"ABCB1","sn-38","hsa-mir-92b",236
"ABCB1","asparaginase","hsa-mir-92b",236
"ABCB1","tamoxifen","hsa-mir-92b",236
"ABCB1","oseltamivir","hsa-mir-92b",236
"ABCB1","arsenic trioxide","hsa-mir-92b",236
"ABCB1","levofloxacin","hsa-mir-92b",236
"ABCB1","pitavastatin","hsa-mir-92b",236
