"Genes","Farmaco","miRNAs","freq"
"ABCB1","rhodamine 123","hsa-mir-320b-2",219
"ABCB1","antidepressants","hsa-mir-320b-2",219
"ABCB1","risperidone","hsa-mir-320b-2",219
"ABCB1","cisplatin","hsa-mir-320b-2",219
"ABCB1","fluorouracil","hsa-mir-320b-2",219
"ABCB1","metformin","hsa-mir-320b-2",219
"ABCB1","cimetidine","hsa-mir-320b-2",219
"ABCB1","gemcitabine","hsa-mir-320b-2",219
"ABCB1","oxaliplatin","hsa-mir-320b-2",219
"ABCB1","methotrexate","hsa-mir-320b-2",219
"ABCB1","actinomycines","hsa-mir-320b-2",219
"ABCB1","daunorubicin","hsa-mir-320b-2",219
"ABCB1","doxorubicin","hsa-mir-320b-2",219
"ABCB1","valinomycin","hsa-mir-320b-2",219
"ABCB1","calcein","hsa-mir-320b-2",219
"ABCB1","paclitaxel","hsa-mir-320b-2",219
"ABCB1","cytarabine","hsa-mir-320b-2",219
"ABCB1","cyclosporine","hsa-mir-320b-2",219
"ABCB1","cyclophosphamide","hsa-mir-320b-2",219
"ABCB1","rosiglitazone","hsa-mir-320b-2",219
"ABCB1","gabapentin","hsa-mir-320b-2",219
"ABCB1","olanzapine","hsa-mir-320b-2",219
"ABCB1","dicloxacillin","hsa-mir-320b-2",219
"ABCB1","anthracyclines and related substances","hsa-mir-320b-2",219
"ABCB1","amiodarone","hsa-mir-320b-2",219
"ABCB1","simvastatin","hsa-mir-320b-2",219
"ABCB1","chlorpromazine","hsa-mir-320b-2",219
"ABCB1","bromperidol","hsa-mir-320b-2",219
"ABCB1","clozapine","hsa-mir-320b-2",219
"ABCB1","tipranavir","hsa-mir-320b-2",219
"ABCB1","caffeine","hsa-mir-320b-2",219
"ABCB1","dextromethorphan","hsa-mir-320b-2",219
"ABCB1","digoxin","hsa-mir-320b-2",219
"ABCB1","ritonavir","hsa-mir-320b-2",219
"ABCB1","carbamazepine","hsa-mir-320b-2",219
"ABCB1","warfarin","hsa-mir-320b-2",219
"ABCB1","tacrolimus","hsa-mir-320b-2",219
"ABCB1","farnesyltransferase inhibitors","hsa-mir-320b-2",219
"ABCB1","tipifarnib","hsa-mir-320b-2",219
"ABCB1","amlodipine","hsa-mir-320b-2",219
"ABCB1","irinotecan","hsa-mir-320b-2",219
"ABCB1","sn-38","hsa-mir-320b-2",219
"ABCB1","asparaginase","hsa-mir-320b-2",219
"ABCB1","tamoxifen","hsa-mir-320b-2",219
"ABCB1","oseltamivir","hsa-mir-320b-2",219
"ABCB1","arsenic trioxide","hsa-mir-320b-2",219
"ABCB1","levofloxacin","hsa-mir-320b-2",219
"ABCB1","pitavastatin","hsa-mir-320b-2",219
"ABCB1","rosuvastatin","hsa-mir-320b-2",219
"ABCB1","saquinavir","hsa-mir-320b-2",219
"ABCB1","docetaxel","hsa-mir-320b-2",219
"ABCB1","gefitinib","hsa-mir-320b-2",219
"ABCB1","atorvastatin","hsa-mir-320b-2",219
"ABCB1","citalopram","hsa-mir-320b-2",219
"ABCB1","protease inhibitors","hsa-mir-320b-2",219
"ABCB1","lopinavir","hsa-mir-320b-2",219
"ABCB1","sirolimus","hsa-mir-320b-2",219
"ABCB1","acetaminophen","hsa-mir-320b-2",219
"ABCB1","heroin","hsa-mir-320b-2",219
"ABCB1","omeprazole","hsa-mir-320b-2",219
"ABCB1","esomeprazole","hsa-mir-320b-2",219
"ABCB1","lansoprazole","hsa-mir-320b-2",219
"ABCB1","venlafaxine","hsa-mir-320b-2",219
"ABCB1","methadone","hsa-mir-320b-2",219
"ABCB1","sertraline","hsa-mir-320b-2",219
"ABCB1","oxycodone","hsa-mir-320b-2",219
"ABCB1","tretinoin","hsa-mir-320b-2",219
"ABCB1","progesterone","hsa-mir-320b-2",219
"ABCB1","mycophenolate mofetil","hsa-mir-320b-2",219
"ABCB1","bevacizumab","hsa-mir-320b-2",219
"ABCB1","leucovorin","hsa-mir-320b-2",219
"ABCB1","felodipine","hsa-mir-320b-2",219
"ABCB1","efavirenz","hsa-mir-320b-2",219
"ABCB1","budesonide","hsa-mir-320b-2",219
"ABCB1","reserpine","hsa-mir-320b-2",219
"ABCB1","ondansetron","hsa-mir-320b-2",219
"ABCB1","nicardipine","hsa-mir-320b-2",219
"ABCB1","valproic acid","hsa-mir-320b-2",219
"ABCB1","pravastatin","hsa-mir-320b-2",219
"ABCB1","forskolin","hsa-mir-320b-2",219
